Folder,File,MFCCs,ZCR,PitchMean,PitchStd,SpectralCentroid,SpectralBandwidth,SpectralRolloff,Harmonic,Percussive
An individual_s culture,citizen_audio_9717d5fb-d902-47a7-baa5-41a81a34da09.wav,"[-393.51788330078125, 75.96051788330078, 10.470423698425293, 36.8778076171875, 7.05324649810791, 15.3674955368042, -7.88643217086792, -3.004122495651245, -9.535279273986816, -10.105571746826172, -11.236528396606445, -8.596420288085938, -9.52634048461914]",0.0816124327723803,13.175216674804688,176.7144317626953,3288.1603735536014,3562.5381418469165,6022.856340269344,1.1112414313174668e-06,8.92886509973323e-06
An individual_s culture,citizen_audio_b32b482f-5292-4e49-81c6-ed77b2c78758.wav,"[-420.2408752441406, 102.70475769042969, 33.3603515625, 9.987183570861816, 6.161566257476807, -2.126337766647339, -8.714961051940918, -12.961633682250977, -11.877753257751465, -7.437346458435059, -9.455513000488281, -10.724576950073242, -5.3429856300354]",0.06728355850272683,12.834611892700195,161.41912841796875,3107.3850478034333,4064.8859337800095,5900.230850272682,1.370669338029984e-07,-2.3993418380996445e-06
New knowledge from science,citizen_audio_7955b963-d1f5-47ae-b2ae-0516948bae9c.wav,"[-438.74615478515625, 89.42208862304688, 9.930672645568848, 17.407100677490234, -9.056157112121582, -10.745083808898926, -13.25385570526123, -15.528976440429688, -4.066174507141113, -9.081605911254883, -10.70997428894043, -14.868462562561035, -14.461639404296875]",0.07581611596324717,16.543113708496094,198.8641815185547,2620.984468280408,2288.5800044423504,4320.5901655896605,-1.0087801705083166e-08,9.73876126408868e-07
New knowledge from science,citizen_audio_b7466913-abd4-4b31-9ba6-1ee2de9ab68c.wav,"[-351.2225646972656, 107.30701446533203, -22.11920928955078, 5.088815689086914, 22.316753387451172, -3.332491874694824, -7.457324504852295, -13.00730037689209, -12.263091087341309, -4.484868049621582, -9.551706314086914, -10.509967803955078, -13.261018753051758]",0.05317974746889889,20.93028450012207,227.3926544189453,2415.7793350086827,1989.5029137904583,4302.995963472737,3.5179994029022055e-08,-2.3743468773318455e-05
New knowledge from science,citizen_audio_1ed1f565-490a-4fd6-86f5-07f99618dc42.wav,"[-345.5692138671875, 71.22003173828125, -15.665128707885742, 24.020526885986328, 0.0723213404417038, -2.5344793796539307, -16.148073196411133, -12.79688549041748, -15.52313232421875, -10.356210708618164, -10.4293851852417, -6.8392205238342285, -14.078594207763672]",0.1291590630045748,39.96474075317383,319.0771179199219,2341.443523856992,1672.1552758330292,3954.7312298170077,3.4509259450032914e-08,2.614536640521692e-07
New knowledge from science,citizen_audio_f6a0655d-c1d2-4f2a-b245-37cdbe5c5f02.wav,"[-336.7159118652344, 118.58668518066406, -30.448026657104492, 16.182268142700195, 21.867794036865234, -22.60826301574707, -7.812044620513916, -4.332025527954102, -12.727060317993164, -0.9963312149047852, -6.528870105743408, -14.928054809570312, -12.597138404846191]",0.06523611131967803,14.588210105895996,192.43922424316406,2141.2864020979273,1515.9499859721716,3574.6185728015375,-9.639862241783703e-08,-8.15391649666708e-06
New knowledge from science,citizen_audio_37c2ca91-8a81-4275-8e18-9ee8390de404.wav,"[-344.2481994628906, 112.1644058227539, -27.137887954711914, 15.071625709533691, 16.08561134338379, -21.497886657714844, -3.0008676052093506, -2.9087212085723877, -10.940702438354492, 0.5021342635154724, -8.424924850463867, -16.26553726196289, -11.8705472946167]",0.06648978105478136,13.246498107910156,182.5375213623047,2040.8087806542678,1396.8501406910327,3296.679781355118,4.580902555062494e-07,-7.739870397927007e-07
New knowledge from science,citizen_audio_536b3ff7-3eb8-4d10-a1ca-a424b5a33ce9.wav,"[-384.5636901855469, 95.15460968017578, 28.862335205078125, 25.950037002563477, 12.104878425598145, 5.5571088790893555, -5.092031478881836, -15.167734146118164, -10.324477195739746, -4.435600757598877, -5.2648701667785645, -7.100651264190674, -3.629500389099121]",0.06133399024024024,9.89168643951416,147.83889770507812,2432.951890547329,2693.4714204848256,4307.066441441441,1.0449623914610129e-05,1.0807954822666943e-05
New knowledge from science,citizen_audio_2dbabeb7-c50e-4f13-87b9-7eb2a3ba8ad2.wav,"[-432.4625244140625, 97.37538146972656, 1.1275482177734375, -3.0836710929870605, 10.692192077636719, -0.37478119134902954, -23.260828018188477, -19.266460418701172, -3.733889102935791, -7.12094259262085, -11.879460334777832, -9.45635986328125, -6.015643119812012]",0.06713673322525146,20.518939971923828,220.5132598876953,2216.386937373875,2064.9277945464823,3843.7280544848463,4.215748816704945e-08,3.9267953866328753e-07
New knowledge from science,citizen_audio_3210e2da-079e-4cb0-ad0a-35e7eb5e7018.wav,"[-387.89739990234375, 114.38565063476562, -10.187976837158203, 24.932477951049805, 24.31888198852539, 2.0546646118164062, 3.301048517227173, -1.0043749809265137, -6.393334865570068, -20.976001739501953, -15.419377326965332, 0.9148085713386536, -7.709121227264404]",0.06432229708089311,22.26081657409668,240.58905029296875,2163.2863426167696,1884.6594980270474,3663.547767203514,-3.777225643375459e-09,1.9021443620204082e-07
