File_Generated,MFCC_0_Generated,MFCC_1_Generated,MFCC_2_Generated,MFCC_3_Generated,MFCC_4_Generated,MFCC_5_Generated,MFCC_6_Generated,MFCC_7_Generated,MFCC_8_Generated,MFCC_9_Generated,MFCC_10_Generated,MFCC_11_Generated,MFCC_12_Generated,ZCR_Generated,PitchMean_Generated,PitchStd_Generated,SpectralCentroid_Generated,SpectralBandwidth_Generated,SpectralRolloff_Generated,Harmonic_Generated,Percussive_Generated,MFCC_0_CompellingAvg,MFCC_1_CompellingAvg,MFCC_2_CompellingAvg,MFCC_3_CompellingAvg,MFCC_4_CompellingAvg,MFCC_5_CompellingAvg,MFCC_6_CompellingAvg,MFCC_7_CompellingAvg,MFCC_8_CompellingAvg,MFCC_9_CompellingAvg,MFCC_10_CompellingAvg,MFCC_11_CompellingAvg,MFCC_12_CompellingAvg,ZCR_CompellingAvg,PitchMean_CompellingAvg,PitchStd_CompellingAvg,SpectralCentroid_CompellingAvg,SpectralBandwidth_CompellingAvg,SpectralRolloff_CompellingAvg,Harmonic_CompellingAvg,Percussive_CompellingAvg
output_voice_1.mp3,-321.1030578613281,117.16529083251953,-24.58790397644043,32.407257080078125,0.6336368322372437,-0.5606741905212402,-16.87518882751465,-9.081247329711914,-6.576640605926514,-9.989789962768555,-7.755777835845947,-9.430612564086914,0.07681287825107574,0.0634776524135044,13.224935531616213,173.2219696044922,1614.3162434525095,1543.4948939015485,3178.6324637276784,-1.642616552999243e-05,-4.378999801701866e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_10.mp3,-343.87908935546875,98.18739318847656,-10.924870491027832,20.093700408935547,1.3164303302764893,-2.0388965606689453,-13.845026969909668,-3.0956130027770996,-7.011170387268066,-8.470338821411133,-15.002473831176758,-7.247043609619141,-3.398451328277588,0.0561497511061946,7.533118724822998,131.23240661621094,1505.9120759218083,1520.326307106507,2996.308075221239,-1.499730296927737e-05,-2.652093826327473e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_2.mp3,-337.902099609375,104.9378433227539,-14.125040054321289,40.020145416259766,8.513920783996582,-1.7665525674819946,-14.878379821777344,-0.003177276346832514,-11.695887565612793,-7.974510669708252,-8.241622924804688,-9.000861167907715,-4.301225185394287,0.0547675008827683,8.596362113952637,142.14944458007812,1530.412125197185,1606.2289768380233,3128.6745233050847,-1.197701658384176e-05,-4.037399048684165e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_3.mp3,-327.9002380371094,109.38809204101562,-30.43258285522461,39.19937515258789,3.7906970977783203,-15.471095085144043,-7.0627288818359375,-4.700784206390381,-16.052621841430664,-3.313710927963257,-10.251155853271484,-0.32956382632255554,1.2325068712234497,0.1294196428571428,33.7960090637207,286.3563232421875,1970.32379399396,1602.8163897968495,3724.107142857143,-3.754711360670626e-05,-0.0001222567661898,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_4.mp3,-325.0296936035156,97.88334655761719,-11.97550106048584,46.71854019165039,-11.623343467712402,-7.460351943969727,-0.7834857106208801,-10.423962593078613,-10.113690376281738,-8.57029914855957,-10.032536506652832,0.8220393657684326,-5.669261932373047,0.0786587885705289,10.768733978271484,162.43508911132812,1814.6928566673687,1579.1949907493586,3458.389090050378,-3.942174225812778e-05,-4.389644891489297e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_5.mp3,-347.1208190917969,99.439453125,-20.310138702392578,41.053802490234375,-13.949420928955078,-14.590258598327637,-2.043179988861084,-14.134982109069824,-12.423379898071289,-9.581445693969727,-14.226346015930176,-1.3735538721084595,-5.786101818084717,0.0731061091188524,12.514117240905762,172.36837768554688,1454.4570253064196,1283.711974591713,2773.4535092213114,-5.051281186752021e-05,-5.9730085922637954e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_6.mp3,-347.8681335449219,71.45623016357422,-15.16305160522461,33.64101028442383,-13.406230926513672,-5.899990081787109,-10.679427146911621,-1.732169508934021,-7.496596813201904,-4.694620609283447,-17.648378372192383,-5.706513404846191,-9.702323913574219,0.0763461992118117,10.697359085083008,166.8629913330078,1839.2638006763332,1746.079060412366,3590.620837033748,-1.5977566363289952e-05,-2.117553594871424e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_7.mp3,-324.71240234375,125.38314056396484,-27.316593170166016,39.74296188354492,-2.087681531906128,-12.029653549194336,-1.9794012308120728,0.2859259247779846,-5.907271862030029,-14.133201599121094,-11.152507781982422,-0.9160584211349487,-7.179877281188965,0.0779695752640845,20.84604263305664,217.0609588623047,1757.119696893578,1583.4820991535553,3523.514524647888,-1.6881389456102625e-05,-3.301550532341935e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_8.mp3,-338.71484375,111.80885314941406,-28.022998809814453,49.02973556518555,12.764976501464844,-2.341097593307495,-3.4796392917633057,7.066657543182373,-16.937915802001953,0.36460140347480774,-1.0758877992630005,-13.528716087341309,6.035893440246582,0.0903527650610403,26.068944931030277,261.4523010253906,1620.5131161596682,1365.6694771686268,3023.4623805732485,-1.110872472054325e-05,-6.932395626790822e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
output_voice_9.mp3,-323.0340881347656,112.42107391357422,-36.0128288269043,43.11903381347656,-2.9807140827178955,-9.768872261047363,-10.884644508361816,-11.331707954406738,-6.789381980895996,-12.51363468170166,-10.456868171691895,4.376458644866943,-10.027606964111328,0.0819812593005952,17.28951644897461,198.1076812744141,1844.0274193267776,1598.4019288070467,3488.3370535714284,-1.6592714018770494e-05,-4.675130912801251e-05,-400.4241321910511,85.27813262939453,-3.2768224484541197,18.859257676384665,2.74877990944819,1.1252619049765846,-6.109045624732971,-5.691527211124247,-9.436763176863844,-6.930867158824747,-5.657205922766165,-6.310986903106625,-6.924121078306978,0.09530138843636364,20.461019143454546,214.17590568181816,3182.620586654545,2791.2355023090913,5542.058220090908,-3.31396498181818e-08,-4.560087272727272e-06
